"date";"p_d11";"s_d11";"p_d12";"s_d12";"p_e11";"s_e11";"p_e12";"s_e12";"p_b11";"s_b11";"p_b12";"s_b12"
"2013-01-01";0;0;0;0;0;0;0;0;0;0;0;0
"2013-01-02";0;296;0;151;0;140;0;75;0;763;0;337
"2013-01-03";0;173;0;114;0;74;0;41;0;658;0;206
"2013-01-04";0;192;0;99;0;39;0;32;0;580;0;156
"2013-01-05";0;260;0;155;0;67;0;39;0;646;0;248
"2013-01-06";0;239;0;174;0;102;0;78;0;647;0;357
"2013-01-07";0;184;0;85;0;48;0;38;0;421;0;219
"2013-01-08";0;160;0;124;0;63;0;33;0;448;0;194
"2013-01-09";0;154;0;91;0;41;0;31;0;375;0;201
"2013-01-10";0;137;0;127;0;62;0;25;0;669;0;274
"2013-01-11";0;132;0;121;0;35;0;34;0;391;0;152
"2013-01-12";0;205;0;138;0;62;0;45;0;569;0;211
"2013-01-13";0;245;0;107;0;81;0;54;0;585;0;483
"2013-01-14";0;120;0;102;0;80;0;33;0;409;0;185
"2013-01-15";0;145;0;100;0;52;0;32;0;462;0;168
"2013-01-16";0;140;0;81;0;68;0;28;0;479;0;174
"2013-01-17";0;122;0;124;0;42;0;41;0;558;0;209
"2013-01-18";0;161;0;117;0;44;0;24;0;478;0;180
"2013-01-19";0;210;0;138;0;55;0;41;0;528;0;246
"2013-01-20";0;240;0;157;0;82;0;54;0;617;0;227
"2013-01-21";0;162;0;106;0;54;0;28;0;480;0;258
"2013-01-22";0;168;0;149;0;50;0;43;0;440;0;113
"2013-01-23";0;148;0;133;0;43;0;37;0;458;0;137
"2013-01-24";0;121;0;101;0;49;0;29;0;542;0;333
"2013-01-25";0;168;0;109;0;37;0;33;0;480;0;408
"2013-01-26";0;235;0;171;0;55;0;38;0;580;0;172
"2013-01-27";0;258;0;147;0;94;0;49;0;577;0;390
"2013-01-28";0;123;0;109;0;52;0;34;0;519;0;211
"2013-01-29";0;170;0;117;0;39;0;43;0;477;0;136
"2013-01-30";0;117;0;95;0;32;0;31;0;484;0;145
"2013-01-31";0;145;0;93;0;38;0;28;0;540;0;218
"2013-02-01";0;163;0;131;0;62;0;35;0;528;0;163
"2013-02-02";0;270;0;161;0;83;0;55;0;694;0;245
"2013-02-03";0;269;0;169;0;87;0;48;0;629;0;235
"2013-02-04";0;150;0;117;0;58;0;40;0;604;0;142
"2013-02-05";0;221;0;96;0;71;0;40;0;625;0;200
"2013-02-06";0;157;0;108;0;53;0;27;0;522;0;144
"2013-02-07";0;163;0;108;0;47;0;35;0;674;0;213
"2013-02-08";0;206;0;93;0;54;0;22;0;532;0;254
"2013-02-09";0;230;0;202;0;57;0;51;0;647;0;270
"2013-02-10";0;246;0;140;0;75;0;33;0;798;0;156
"2013-02-11";0;218;0;141;0;48;0;41;0;604;0;158
"2013-02-12";0;189;0;117;0;62;0;42;0;520;0;129
"2013-02-13";0;146;0;114;0;88;0;38;0;589;0;190
"2013-02-14";0;189;0;125;0;42;0;18;0;836;0;215
"2013-02-15";0;173;0;113;0;51;0;30;0;536;0;154
"2013-02-16";0;223;0;170;0;74;0;50;0;576;0;352
